,Количество комнат,Цена квартиры,Площадь,Район
206,1,6883800.0,52.14,Верх-Исетский
207,2,7356900.0,53.7,Верх-Исетский
208,2,7465130.0,54.49,Верх-Исетский
209,2,7581570.0,53.77,Верх-Исетский
210,2,7660900.0,58.93,Верх-Исетский
211,2,7692960.0,54.56,Верх-Исетский
212,2,7706160.0,58.41,Верх-Исетский
213,2,7715500.0,59.6,Верх-Исетский
214,2,7769100.0,53.58,Верх-Исетский
215,2,7840800.0,59.37,Верх-Исетский
216,2,7881300.0,58.41,Верх-Исетский
217,2,7883650.0,54.37,Верх-Исетский
218,2,7896620.0,58.93,Верх-Исетский
219,2,7940520.0,57.54,Верх-Исетский
220,2,8019000.0,59.37,Верх-Исетский
221,2,8078200.0,62.14,Верх-Исетский
222,2,8170680.0,57.54,Верх-Исетский
223,2,8202480.0,62.14,Верх-Исетский
224,2,8206900.0,63.13,Верх-Исетский
225,2,8263090.0,68.29,Верх-Исетский
226,2,8326760.0,62.14,Верх-Исетский
227,2,8333680.0,57.08,Верх-Исетский
228,2,8459420.0,63.13,Верх-Исетский
229,2,8467960.0,68.85,Верх-Исетский
230,2,8586500.0,66.05,Верх-Исетский
231,2,8659300.0,66.98,Верх-Исетский
232,2,8684340.0,62.93,Верх-Исетский
233,2,8718600.0,66.05,Верх-Исетский
234,2,8836520.0,66.44,Верх-Исетский
235,2,8850700.0,66.05,Верх-Исетский
236,2,8936060.0,62.93,Верх-Исетский
237,2,8989600.0,66.11,Верх-Исетский
238,2,9187780.0,62.63,Верх-Исетский
239,2,9488400.0,79.24,Верх-Исетский
240,2,9725610.0,79.24,Верх-Исетский
241,2,9858750.0,78.87,Верх-Исетский
242,2,9975850.0,78.55,Верх-Исетский
243,3,10407800.0,79.96,Верх-Исетский
244,3,10433800.0,80.26,Верх-Исетский
245,3,10754840.0,80.26,Верх-Исетский
246,3,10764400.0,79.15,Верх-Исетский
247,3,11081000.0,79.15,Верх-Исетский
248,3,11325600.0,78.65,Верх-Исетский
249,3,12638600.0,97.22,Верх-Исетский
250,2,4333500.0,40.5,Чкаловский
251,1,3729000.0,33.9,Чкаловский
252,Ст,2576400.0,22.6,Чкаловский
253,Ст,2508000.0,22.0,Чкаловский
254,1,3651500.0,33.5,Чкаловский
255,Ст,2531200.0,22.4,Чкаловский
256,Ст,2576000.0,22.4,Чкаловский
257,2,4455000.0,40.5,Чкаловский
258,1,4097350.0,36.1,Чкаловский
259,Ст,2847600.0,25.2,Чкаловский
260,Ст,2610300.0,22.6,Чкаловский
261,Ст,2598400.0,22.4,Чкаловский
262,Ст,2621600.0,22.6,Чкаловский
263,1,3685000.0,33.5,Чкаловский
264,Ст,2552000.0,22.0,Чкаловский
265,1,3886000.0,33.5,Чкаловский
266,Ст,2610300.0,23.1,Чкаловский
267,Ст,2610300.0,23.1,Чкаловский
268,1,3925620.0,33.9,Чкаловский
269,2,4460800.0,41.0,Чкаловский
270,Ст,2674980.0,23.1,Чкаловский
271,Ст,2733120.0,23.4,Чкаловский
272,Ст,2733120.0,23.4,Чкаловский
273,1,3951600.0,37.0,Чкаловский
274,Ст,2559180.0,22.1,Чкаловский
275,Ст,2721440.0,23.3,Чкаловский
276,Ст,2698080.0,23.1,Чкаловский
277,Ст,2698080.0,23.1,Чкаловский
278,Ст,2923200.0,25.2,Чкаловский
279,Ст,2768040.0,23.3,Чкаловский
280,1,3590000.0,35.9,Чкаловский
281,Ст,2580600.0,25.3,Чкаловский
282,Ст,2876400.0,28.2,Чкаловский
283,Ст,2907000.0,28.5,Чкаловский
284,1,4090200.0,40.1,Чкаловский
285,Ст,2621400.0,25.7,Чкаловский
286,1,3959000.0,37.0,Чкаловский
287,Ст,2583300.0,23.7,Чкаловский
288,Ст,2528800.0,23.2,Чкаловский
289,1,3826600.0,36.1,Чкаловский
290,2,5023200.0,48.3,Чкаловский
291,1,3755700.0,35.1,Чкаловский
292,Ст,2640000.0,24.0,Чкаловский
293,Ст,2552000.0,23.2,Чкаловский
294,Ст,2921200.0,26.8,Чкаловский
295,1,3790800.0,35.1,Чкаловский
296,1,3960000.0,36.0,Чкаловский
297,Ст,2654400.0,23.7,Чкаловский
298,Ст,2598400.0,23.2,Чкаловский
299,Ст,2598400.0,23.2,Чкаловский
300,Ст,2941500.0,26.5,Чкаловский
301,Ст,2974800.0,26.8,Чкаловский
302,1,3934900.0,36.1,Чкаловский
303,1,3861000.0,35.1,Чкаловский
304,Ст,2620800.0,23.4,Чкаловский
305,Ст,2587200.0,23.1,Чкаловский
306,1,4107000.0,37.0,Чкаловский
307,Ст,2712000.0,24.0,Чкаловский
308,Ст,2712000.0,24.0,Чкаловский
309,Ст,2712000.0,24.0,Чкаловский
310,Ст,2678100.0,23.7,Чкаловский
311,Ст,2678100.0,23.7,Чкаловский
312,Ст,2621600.0,23.2,Чкаловский
313,Ст,2621600.0,23.2,Чкаловский
314,Ст,2621600.0,23.2,Чкаловский
315,Ст,2621600.0,23.2,Чкаловский
316,Ст,2621600.0,23.2,Чкаловский
317,Ст,2621600.0,23.2,Чкаловский
318,Ст,3001600.0,26.8,Чкаловский
319,Ст,3001600.0,26.8,Чкаловский
320,Ст,3001600.0,26.8,Чкаловский
321,1,3971000.0,36.1,Чкаловский
322,1,3971000.0,36.1,Чкаловский
323,1,3971000.0,36.1,Чкаловский
324,1,3971000.0,36.1,Чкаловский
325,2,5216400.0,48.3,Чкаловский
326,2,5216400.0,48.3,Чкаловский
327,1,3896100.0,35.1,Чкаловский
328,1,3896100.0,35.1,Чкаловский
329,1,3896100.0,35.1,Чкаловский
330,Ст,2644200.0,23.4,Чкаловский
331,Ст,2644200.0,23.4,Чкаловский
332,Ст,2968000.0,26.5,Чкаловский
333,Ст,2968000.0,26.5,Чкаловский
334,1,4700000.0,41.46,Ленинский
335,1,4800000.0,42.66,Ленинский
336,1,4800000.0,41.46,Ленинский
337,1,4800000.0,41.34,Ленинский
338,1,4900000.0,42.51,Ленинский
339,1,4930000.0,42.25,Ленинский
340,1,4950000.0,45.31,Ленинский
341,1,4980000.0,42.32,Ленинский
342,1,5000000.0,42.29,Ленинский
343,1,5000000.0,46.12,Ленинский
344,1,5100000.0,45.51,Ленинский
345,1,5150000.0,45.47,Ленинский
346,1,5200000.0,45.23,Ленинский
347,1,5200000.0,45.47,Ленинский
348,1,5200000.0,45.24,Ленинский
349,2,6550000.0,61.69,Ленинский
350,2,6700000.0,68.18,Ленинский
351,2,6850000.0,68.34,Ленинский
352,2,6850000.0,66.98,Ленинский
353,2,6850000.0,71.57,Ленинский
354,2,6900000.0,66.98,Ленинский
355,2,7000000.0,69.22,Ленинский
356,2,7050000.0,72.09,Ленинский
357,2,7050000.0,67.91,Ленинский
358,2,7090000.0,71.42,Ленинский
359,2,7270000.0,71.26,Ленинский
360,3,7800000.0,84.33,Ленинский
361,3,7850000.0,84.48,Ленинский
362,3,8000000.0,84.59,Ленинский
363,3,8000000.0,84.37,Ленинский
364,3,8150000.0,87.94,Ленинский
365,3,8200000.0,85.35,Ленинский
366,3,8300000.0,85.5,Ленинский
367,3,8300000.0,87.78,Ленинский
368,3,8550000.0,89.17,Ленинский
369,3,9600000.0,108.76,Ленинский
370,3,9800000.0,108.1,Ленинский
371,3,10050000.0,108.28,Ленинский
372,4,10200000.0,114.3,Ленинский
373,4,10400000.0,114.3,Ленинский
374,4,10600000.0,114.05,Ленинский
