,Количество комнат,Цена квартиры,Площадь,Район,Ссылка
92,1,5206980,39,Октябрьский,https://www.pik.ru/search/ekb/ip
93,2,5275599,56.4,Октябрьский,https://www.pik.ru/search/ekb/ip
94,2,6226444,60,Октябрьский,https://www.pik.ru/search/ekb/ip
95,1,5457628,39.8,Октябрьский,https://www.pik.ru/search/ekb/ip
96,2,5949589,56.6,Октябрьский,https://www.pik.ru/search/ekb/ip
97,1,4641953,33.3,Октябрьский,https://www.pik.ru/search/ekb/ip
98,1,5409974,40.9,Октябрьский,https://www.pik.ru/search/ekb/ip
99,1,5395983,39.8,Октябрьский,https://www.pik.ru/search/ekb/ip
100,3,7988393,73.4,Октябрьский,https://www.pik.ru/search/ekb/ip
101,Ст,3026534,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
102,1,4700655,34.1,Октябрьский,https://www.pik.ru/search/ekb/ip
103,2,5561051,52.8,Октябрьский,https://www.pik.ru/search/ekb/ip
104,3,9715079,92.8,Октябрьский,https://www.pik.ru/search/ekb/ip
105,2,7279673,60,Октябрьский,https://www.pik.ru/search/ekb/ip
106,1,4986689,42.4,Октябрьский,https://www.pik.ru/search/ekb/ip
107,1,5255304,39,Октябрьский,https://www.pik.ru/search/ekb/ip
108,1,5341318,42.4,Октябрьский,https://www.pik.ru/search/ekb/ip
109,3,7018266,73.4,Октябрьский,https://www.pik.ru/search/ekb/ip
110,2,6319376,60,Октябрьский,https://www.pik.ru/search/ekb/ip
111,2,5223783,56.6,Октябрьский,https://www.pik.ru/search/ekb/ip
112,1,4276544,34.2,Октябрьский,https://www.pik.ru/search/ekb/ip
113,3,6866683,73.4,Октябрьский,https://www.pik.ru/search/ekb/ip
114,2,7347823,60,Октябрьский,https://www.pik.ru/search/ekb/ip
115,2,5319892,53.5,Октябрьский,https://www.pik.ru/search/ekb/ip
116,1,4525292,35.4,Октябрьский,https://www.pik.ru/search/ekb/ip
117,Ст,3096494,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
118,2,5928147,56.4,Октябрьский,https://www.pik.ru/search/ekb/ip
119,Ст,3045898,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
120,1,4676152,36.2,Октябрьский,https://www.pik.ru/search/ekb/ip
121,3,8141256,92,Октябрьский,https://www.pik.ru/search/ekb/ip
122,3,8124817,73.4,Октябрьский,https://www.pik.ru/search/ekb/ip
123,2,6164489,60,Октябрьский,https://www.pik.ru/search/ekb/ip
124,Ст,3088398,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
125,3,8217904,92.8,Октябрьский,https://www.pik.ru/search/ekb/ip
126,3,6790892,73.4,Октябрьский,https://www.pik.ru/search/ekb/ip
127,2,6752811,55.8,Октябрьский,https://www.pik.ru/search/ekb/ip
